stamp_s,x_m,y_m,yaw_rad,ot_overlap
16.899999622,89624.84625231255,43138.79048701306,2.1462045510996384,0
16.949999621,89624.71495772761,43138.97428624104,2.14038206116993,0
16.99999962,89624.60824790108,43139.17605823832,2.1356048889353962,0
17.049999618,89624.47501138903,43139.362240273345,2.131110834910387,0
17.149999616,89624.23670337978,43139.7630682194,2.1237562827500294,0
17.199999615,89624.12784976543,43139.97119532973,2.120872226079941,0
17.249999614,89623.99661977742,43140.17078351401,2.1187436144020064,0
17.299999613,89623.8873167313,43140.38250576833,2.1164569899113164,0
17.399999611,89623.63308043977,43140.79779301768,2.112419292518232,0
17.449999609,89623.52215113054,43141.0123910534,2.1104928893005392,0
17.549999607,89623.26954838847,43141.44446864682,2.106648093339392,0
17.599999606,89623.14412613926,43141.663041560234,2.104785522590882,0
17.649999605,89623.01910386956,43141.881786041005,2.102707314521378,0
17.699999604,89622.896294901,43142.10561334574,2.100161511996825,0
17.749999603,89622.7573920665,43142.32468378009,2.0974722137138206,0
17.799999602,89622.64005830562,43142.555782416915,2.094855462661517,0
17.849999601,89622.51488130954,43142.782439945106,2.0926123746063885,0
17.899999599,89622.39147144355,43143.01361021242,2.090772089738848,0
17.949999598,89622.25342506875,43143.24101148416,2.0891118261876684,0
18.049999596,89622.01051145869,43143.71359277441,2.086318557319482,0
18.099999595,89621.87201895016,43143.94506366184,2.0854750951083343,0
18.149999594,89621.74017498949,43144.18397007889,2.085522649606862,0
18.199999593,89621.62279656724,43144.43036393405,2.0859020946444486,0
18.249999592,89621.484502671,43144.66943652604,2.086784095742464,0
18.29999959,89621.3513854745,43144.911417431336,2.0884267059149857,0
18.399999588,89621.08737346789,43145.40083594817,2.091917372244032,0
18.499999586,89620.80045449315,43145.889914991,2.0973896031935424,0
18.549999585,89620.66137179307,43146.140575719,2.101074848331286,0
18.599999584,89620.52097944422,43146.390536276806,2.1055961096266658,0
18.649999583,89620.38042671379,43146.64076284645,2.1102482529431383,0
18.699999582,89620.228201189,43146.89247020291,2.1150812120055633,0
18.799999579,89619.93143969534,43147.39639270474,2.1244989417299034,0
18.849999578,89619.78279677761,43147.65010914373,2.128741025987298,0
18.899999577,89619.62137631567,43147.9010952418,2.132645140627283,0
18.949999576,89619.46693142774,43148.15990588041,2.1365369023022547,0
19.049999574,89619.14168393899,43148.66869751302,2.1428767125193904,0
19.19999957,89618.65099763247,43149.44679011799,2.153219951448215,0
19.249999569,89618.48671468954,43149.70843809836,2.1577491675699068,0
19.299999568,89618.30942988946,43149.96260082511,2.16335299164324,0
19.399999566,89617.95564760151,43150.48870498911,2.17671442929637,0
19.499999564,89617.59070293412,43151.00807390672,2.192722018770267,0
19.549999563,89617.41677843512,43151.277893499995,2.200948427528588,0
19.64999956,89617.02399506385,43151.7941957125,2.2141117731183857,0
19.699999559,89616.84078728626,43152.059334298676,2.2182375989505556,0
19.749999558,89616.63069145376,43152.31922512182,2.2226021534159464,0
19.799999557,89616.43843910782,43152.58365228448,2.2239731692542093,0
19.849999556,89616.23247927609,43152.8470690069,2.2243625770775926,0
19.899999555,89616.0296524588,43153.11290143692,2.221454258099056,0
19.949999554,89615.8277334885,43153.38327390847,2.217898389784741,0
20.09999955,89615.22132086831,43154.201920586696,2.195930687481818,0
20.149999549,89615.03017551184,43154.48223234125,2.1857115119325505,0
20.249999547,89614.63460106424,43155.04649280617,2.1565635688989744,0
20.299999546,89614.4402195644,43155.33625368741,2.1396648894447714,0
20.449999542,89613.9099068949,43156.241287771525,2.075713471157381,0
20.499999541,89613.72843392585,43156.54876435105,2.0539753052827074,0
20.54999954,89613.57435184598,43156.866908000884,2.0281567078255907,0
20.599999539,89613.41155161112,43157.18393384292,2.0033436340716237,0
20.649999538,89613.27461288041,43157.5138223914,1.9765531907875915,0
20.699999537,89613.139466739,43157.84442871403,1.9488965177180921,0
20.749999536,89613.00035712094,43158.177078348584,1.921243030191173,0
