s_m,x_m,y_m,psi_rad,kappa_radpm,vx_mps,ax_mps2
205.1723826,89650.4903135,43184.7027775,-1.0688783,0.0076048,8.3333333,0.0000000
206.2085663,89651.3765902,43185.2396110,-1.0963483,-0.0547820,8.3333333,0.0000000
207.1337831,89652.2302588,43185.5963688,-1.1763279,-0.0668362,8.3333333,0.0000000
207.9599152,89652.9934355,43185.9126844,-1.2134018,-0.0625119,8.3333333,0.0000000
208.8126828,89653.8021099,43186.1833470,-1.2812791,-0.0731063,8.3333333,0.0000000
209.7523155,89654.7103666,43186.4241361,-1.3444375,0.0019988,8.3333333,0.0000000
210.7015304,89655.6417936,43186.6070368,-1.2775037,-0.0225729,8.3333333,0.0000000
211.3607593,89656.2391657,43186.8858368,-1.3807448,-0.1949789,8.3333333,0.0000000
212.2816662,89657.1599771,43186.8990947,-1.5855968,-0.1844636,8.3333333,0.0000000
213.2167313,89658.0941554,43186.8583801,-1.7231040,-0.0930990,8.3333333,0.0000000
214.0982546,89658.9442820,43186.6252103,-1.7547193,-0.0032626,8.3333333,0.0000000
214.8987480,89659.7414158,43186.5519480,-1.7285918,-0.1562823,8.3333333,0.0000000
215.6288623,89660.4522489,43186.3852652,-1.9939262,-0.4854935,8.3333333,0.0000000
216.2172807,89660.9159455,43186.0230199,-2.3687308,-0.4452805,8.3333333,0.0000000
216.9440808,89661.3637823,43185.4505860,-2.5795673,-0.2793779,8.3333333,0.0000000
217.7637387,89661.7362685,43184.7204537,-2.8007770,-0.2262175,8.3333333,0.0000000
218.6636099,89661.9340659,43183.8425902,-2.9685548,-0.1889748,8.3333333,0.0000000
219.3015503,89662.0006014,43183.2081291,-3.0913846,-0.1111136,8.3333333,0.0000000
220.2709821,89662.0146568,43182.2387991,3.1360296,-0.0779840,8.3333333,0.0000000
221.2167756,89661.9899491,43181.2933284,3.0424437,-0.1442839,8.3333333,0.0000000
222.0737858,89661.8367283,43180.4501262,2.8759139,-0.1944956,8.3333333,0.0000000
222.9517742,89661.5360410,43179.6252319,2.7049941,-0.1478635,8.3333333,0.0000000
223.7426792,89661.1339879,43178.9441415,2.6291455,-0.0832393,8.3333333,0.0000000
224.6858694,89660.6859487,43178.1141605,2.5606493,-0.1254013,8.3333333,0.0000000
225.6344048,89660.0995956,43177.3685671,2.3919208,-0.1596638,8.3333333,0.0000000
226.6120198,89659.3778838,43176.7091255,2.2531127,-0.1412956,8.3333333,0.0000000
227.6881522,89658.5080901,43176.0754695,2.1017353,-0.1593360,8.3333333,0.0000000
228.6379506,89657.6404897,43175.6889641,1.9303091,-0.1275531,8.3333333,0.0000000
229.6462724,89656.6782194,43175.3877187,1.8519709,-0.0550866,8.3333333,0.0000000
230.6859468,89655.6733889,43175.1208133,1.8174918,-0.0011674,8.3333333,0.0000000
231.8012913,89654.5886073,43174.8615023,1.8494552,0.0758181,8.3333333,0.0000000
232.8456050,89653.5991871,43174.5273783,1.9812330,0.0324070,8.3333333,0.0000000
233.7563854,89652.8032727,43174.0846130,1.9128138,-0.0424324,8.3333333,0.0000000
235.0936197,89651.5010923,43173.7804389,1.8858444,0.0271087,8.3333333,0.0000000
236.1967432,89650.4933228,43173.3317943,1.9789688,0.0661287,8.3333333,0.0000000
237.3732624,89649.4088390,43172.8756228,2.0365943,0.1030192,8.3333333,0.0000000
238.5129891,89648.4287256,43172.2939402,2.2175865,0.1188840,8.3333333,0.0000000
239.7692403,89647.5075018,43171.4398244,2.3214376,0.0968237,8.3333333,0.0000000
240.7419022,89646.7988390,43170.7735901,2.4333982,0.1530921,8.3333333,0.0000000
241.7210928,89646.2452480,43169.9659075,2.6202507,0.1880983,8.3333333,0.0000000
242.8081283,89645.7726961,43168.9869586,2.8220519,0.2318089,8.3333333,1.1239032
243.8465206,89645.5835015,43167.9659473,3.1129439,0.2361009,8.4722222,0.0000000
244.9293192,89645.7126296,43166.8908758,-2.9603184,0.1603373,8.4722222,0.0000000
246.0624656,89645.9822718,43165.7902788,-2.8149428,0.1608756,8.4722222,0.0000000
247.0928769,89646.4040070,43164.8501262,-2.6122548,0.2034949,8.4722222,0.0000000
247.9519133,89646.9297399,43164.1707526,-2.4304498,0.1431119,8.4722222,0.0000000
248.9691063,89647.6271944,43163.4303211,-2.3437440,0.0882407,8.4722222,0.0000000
249.9052937,89648.3267170,43162.8081355,-2.2580821,0.0861581,8.4722222,0.0000000
250.8857917,89649.1076237,43162.2152096,-2.1786060,0.0893191,8.4722222,0.0000000
251.9163212,89649.9762120,43161.6606419,-2.0784590,0.1389022,8.4722222,0.0000000
252.8762552,89650.8436322,43161.2494784,-1.9021262,0.1492793,8.4722222,0.0000000
253.8808530,89651.8229106,43161.0253564,-1.7851951,0.0756644,8.4722222,0.0000000
254.9886341,89652.9075422,43160.8000715,-1.7422942,0.0607489,8.4722222,0.0000000
256.0491065,89653.9581193,43160.6555398,-1.6534762,0.0785547,8.4722222,0.0000000
257.1285876,89655.0371276,43160.6235954,-1.5741909,0.0953112,8.4722222,0.0000000
258.1975524,89656.1058081,43160.6482493,-1.4487053,0.0993659,8.4722222,0.0000000
259.2501679,89657.1324382,43160.8806927,-1.3633781,0.0623117,8.4722222,0.0000000
260.4042672,89658.2649951,43161.1026392,-1.3112012,0.0876408,8.4722222,0.0000000
261.4582651,89659.2614506,43161.4461330,-1.1698587,0.1400167,8.4722222,0.0000000
262.4365110,89660.1312782,43161.8937545,-1.0266531,0.1474515,8.4722222,0.0000000
263.5724438,89661.0665879,43162.5383777,-0.8581198,0.1345437,8.4722222,0.0000000
264.5721523,89661.7361881,43163.2807069,-0.7393160,0.0358668,8.4722222,0.0000000
265.6613868,89662.4740626,43164.0819390,-0.7831962,0.0284602,8.4722222,0.0000000
266.6005715,89663.1660769,43164.7169068,-0.6815868,0.1400267,8.4722222,0.0000000
267.5299543,89663.6385168,43165.5172523,-0.5215468,0.0601868,8.4722222,0.0000000
268.4812868,89664.1030277,43166.3474711,-0.5683926,-0.0124958,8.4722222,0.0000000
269.3811106,89664.6331649,43167.0745457,-0.5446784,0.0000300,8.4722222,-1.1885479
270.3630252,89665.0747865,43167.9515443,-0.5683361,-0.1116315,8.3333333,0.0000000
271.2467674,89665.6315352,43168.6378614,-0.7529445,-0.1693403,8.3333333,0.0000000
271.9838333,89666.1796921,43169.1305989,-0.8428043,-0.1196308,8.3333333,0.0000000
272.8335303,89666.8160635,43169.6936409,-0.9427701,-0.1709165,8.3333333,0.0000000
273.6549513,89667.5254591,43170.1077549,-1.1284258,-0.1795958,8.3333333,0.0000000
274.4580203,89668.2786267,43170.3864273,-1.2345216,-0.1173376,8.3333333,0.0000000
275.3169385,89669.0941187,43170.6560813,-1.3234395,-0.1466131,8.3333333,0.0000000
276.2322282,89669.9946522,43170.8197724,-1.4946437,-0.2138235,8.3333333,0.0000000
277.1194220,89670.8814253,43170.7924531,-1.7088528,-0.2252584,8.3333333,0.0000000
277.9204087,89671.6561232,43170.5889271,-1.8749205,-0.1608171,8.3333333,0.0000000
278.7154138,89672.4024667,43170.3150577,-1.9655156,-0.1382319,8.3333333,0.0000000
279.5034446,89673.1160664,43169.9807406,-2.0937466,-0.1480510,8.3333333,0.0000000
280.4030301,89673.8599283,43169.4748517,-2.2153689,-0.1113835,8.3333333,0.0000000
281.2736362,89674.5294429,43168.9183401,-2.2909166,-0.0683817,8.3333333,0.0000000
